flag,eez,fishing_vessels,fishing_days,fishing_hours,fishing_KwH,start_lat,start_lon,end_lon,end_lat
Italy,Gambia,6,661,14015.10263888889,16638007.82027778,39.6552300897,12.9279072597,-18.3875108981,13.3286663278
Italy,Guinea,7,556,11519.516527777776,18422575.119583327,39.6552300897,12.9279072597,-15.6205073648,9.18113919475
Italy,Guinea-Bissau,3,534,11471.429444444446,18847644.96666666,39.6552300897,12.9279072597,-17.5671963259,10.5806587096
Italy,Lebanon,1,2,6.009444444444445,1840.1464546444445,39.6552300897,12.9279072597,34.9039215283,33.9094237826
Italy,Libya,76,1860,25541.012916666667,11551108.292748127,39.6552300897,12.9279072597,18.4993444533,33.1430015882
Italy,Montenegro,28,571,7291.840833333334,1874079.6732592057,39.6552300897,12.9279072597,18.6801469453,41.8702342631
Italy,Republic of Mauritius,1,3,21.21847222222222,78296.1625,39.6552300897,12.9279072597,60.1172030942,-16.8102129211
Italy,Senegal,5,26,131.5622222222222,203531.58416666664,39.6552300897,12.9279072597,-18.5035747312,13.6946293156
Italy,Senegal,2,101,1772.2804166666665,2193442.1487499997,39.6552300897,12.9279072597,-18.7744292536,11.2609962226
Italy,Seychelles,1,50,402.84625,1486502.6625,39.6552300897,12.9279072597,52.4687739034,-6.54782117364
Italy,Sierra Leone,6,1424,29489.935555555552,34990692.541944474,39.6552300897,12.9279072597,-14.1446799886,6.6354075324
Italy,Syria,2,17,212.48166666666668,131121.8375,39.6552300897,12.9279072597,35.4962435481,35.328707793
Italy,Tunisia,246,23939,291459.98347222223,113769368.09170757,39.6552300897,12.9279072597,11.0531894413,36.0013257587
Italy,Turkey,24,967,6205.3566666666675,3023565.0208789646,39.6552300897,12.9279072597,33.2205977618,40.5222437012
Ivory Coast,Guinea,1,14,138.66333333333336,227241.96985466665,3.30806149919,-5.4494860846,-15.6205073648,9.18113919475
Ivory Coast,Guinea-Bissau,1,5,83.05999999999999,136119.027016,3.30806149919,-5.4494860846,-17.5671963259,10.5806587096
Ivory Coast,Mauritania,2,77,1515.3575000000003,1467594.6175474294,3.30806149919,-5.4494860846,-17.9181448954,18.2466224476
Ivory Coast,Senegal,1,26,179.5401388888889,294231.0259556111,3.30806149919,-5.4494860846,-18.5035747312,13.6946293156
Ivory Coast,Senegal,1,5,25.721527777777776,42152.53231972222,3.30806149919,-5.4494860846,-18.7744292536,11.2609962226
Ivory Coast,Sierra Leone,1,14,88.86638888888889,145634.55803011107,3.30806149919,-5.4494860846,-14.1446799886,6.6354075324
Japan,Alaska,2,265,4251.1409722222215,3381466.672788728,29.5117767836,138.481815283,-149.4936733,64.2008413
Japan,Angola,19,2232,46013.98638888889,37760044.43556194,29.5117767836,138.481815283,11.0353708514,-11.701097795
Japan,Argentina,1,2,4.216388888888888,5270.486111111111,29.5117767836,138.481815283,-62.159504061,-47.0899881567
Japan,Bassas da India,1,3,14.443333333333332,10081.446666666667,29.5117767836,138.481815283,39.42517963,-20.8605425261
Japan,Brazil,2,177,3609.9566666666665,3297301.456762553,29.5117767836,138.481815283,-39.4442325948,-11.0979857632
Japan,Canada,2,8,63.69263888888889,93265.15412379167,29.5117767836,138.481815283,-63.744311,44.68198659999999
Japan,Canary Islands,2,4,29.004722222222235,32349.055555555555,29.5117767836,138.481815283,-17.6139556167,28.367147652
Japan,Cape Verde,27,2585,48402.096666666665,37877106.535086125,29.5117767836,138.481815283,-24.1716379097,16.0919044675
Japan,Chile,2,4,14.286250000000004,10547.918191666664,29.5117767836,138.481815283,-75.6994658146,-40.7386937476
Japan,China,1,2,22.14986111111114,18237.933163034715,29.5117767836,138.481815283,118.676418867,28.6766590494
Japan,Cocos Islands,2,4,16.091527777777777,11867.429012638884,29.5117767836,138.481815283,96.854335723,-12.0314623377
Japan,Colombia,3,607,12814.500000000004,9493218.728705,29.5117767836,138.481815283,-78.0622198147,8.60754392884
Japan,Gabon,1,6,86.61930555555556,63665.18958333332,29.5117767836,138.481815283,8.73897075276,-3.06254123261
Japan,Gilbert Islands,48,1148,11405.375000000004,23726238.424839098,29.5117767836,138.481815283,172.782142391,-0.259123609503
Japan,Guam,10,53,571.3347222222221,1496595.018318039,29.5117767836,138.481815283,144.002607874,12.9295751986
Japan,Hawaii,13,89,603.6583333333333,910167.9237245999,29.5117767836,138.481815283,-158.0000565,21.4389123
Japan,Indonesia,6,35,279.4726388888889,268181.20265277784,29.5117767836,138.481815283,117.898147552,-3.30903479808
Japan,Islas San Félix and San Ambrosio,2,11,70.32819444444445,51711.2851525,29.5117767836,138.481815283,-79.9908635581,-26.3309136903
Japan,Johnston Atoll,1,2,4.61625,6182.93139,29.5117767836,138.481815283,-169.50611759,16.7510913077
Japan,Juan de Nova Island,1,2,7.412083333333334,5447.8812499999995,29.5117767836,138.481815283,42.0942817109,-17.3066334276
Japan,Line Group,1,79,1647.368055555556,1216446.224847223,29.5117767836,138.481815283,-154.726337182,-3.82154491972
Japan,Madagascar,5,941,19178.64777777779,13809818.549444426,29.5117767836,138.481815283,47.2538894845,-20.9128765386
Japan,Marshall Islands,43,1744,29166.717222222203,25162126.054509014,29.5117767836,138.481815283,167.487347243,10.1520394692
Japan,Mauritania,14,516,10304.350416666664,7336009.514357501,29.5117767836,138.481815283,-17.9181448954,18.2466224476
Japan,Micronesia,96,9603,138016.5648611111,153732773.79919893,29.5117767836,138.481815283,150.322031428,6.76930482445
Japan,Mozambique,18,4926,95645.53791666668,71042316.48323618,29.5117767836,138.481815283,37.9562060878,-20.3732121341
Japan,Namibia,8,631,12595.851111111107,11253200.589027777,29.5117767836,138.481815283,12.2854741973,-23.649686501
Japan,Nauru,34,477,7569.893472222221,8990244.884780701,29.5117767836,138.481815283,166.123963816,-0.591130617199
Japan,New Caledonia,2,4,8.394722222222223,7306.1963888888895,29.5117767836,138.481815283,163.203766208,-21.0187061029
Japan,New Zealand,5,376,6656.3215277777745,3799365.7793343063,29.5117767836,138.481815283,171.3399414,-42.6919232
Japan,Northern Mariana Islands,5,11,83.85527777777779,85264.31007734861,29.5117767836,138.481815283,145.73933219,18.2865983172
Japan,Palau,8,204,3161.623472222222,1584308.7727787222,29.5117767836,138.481815283,133.067109938,6.44072082768
Japan,Panama,1,2,18.93666666666666,14022.601666666671,29.5117767836,138.481815283,-80.3458256144,8.28880359641
Japan,Papua New Guinea,57,7325,102244.52055555565,129828641.91319361,29.5117767836,138.481815283,150.717739785,-5.46159340329
